Segnala il PFS mancante!!::::00
TOH_1/05w21::Via Dante Alighieri, Orbassano [45.00496961, 7.53667750]
TOH_1/05w22::Via Castellazzo, Orbassano [45.00587077, 7.53915375]
TOH_1/05w23::Via Trieste, Orbassano [45.00440579, 7.54032255]
TOH_1/05w24::Via della Bassa 9, Orbassano [45.00329011, 7.53761436]
TOH_1/05w31::Via Sacco e Vanzetti 13, Orbassano [45.00298220, 7.53431327]
TOH_1/05w32::Via Luigi Einaudi 19, Orbassano [45.001045012811346, 7.536251423646995]
TOH_1/05w33::Via Luigi Einaudi 59, Orbassano [44.999506322588495, 7.535536787102233]
TOH_1/05w34::Via Pietro Nenni 1, Orbassano [44.999172562053595, 7.533946188643844]
TOH_1/06e11::Via Sestriere, Rivoli [45.07427169, 7.55564632]
TOH_1/06e12::Via Pellice 81, Rivoli [45.07647112, 7.55702591]
TOH_1/06e13::Via Tevere, Rivoli [45.07388504, 7.55234433]
TOH_1/06e21::Via Sestriere, Rivoli [45.07426831, 7.55134320]
TOH_1/06e22::Tangenziale Sud, Rivoli [45.07443727, 7.54770168]
TOH_1/06e23::Via Pellice 70, Rivoli [45.07660479, 7.55132137]
TOH_1/06e31::Via Salvador Allende 2, Rivoli [45.07533434, 7.54531012]
TOH_1/06e32::Via Caraglio 11, Rivoli [45.07530039, 7.54424862]
TOH_1/06e33::Via Carso 36, Rivoli [45.07332776, 7.54468852]
TOH_1/06e41::Via Varallo 11, Rivoli [45.07598596, 7.53991967]
TOH_1/06e42::Via Sestriere 22, Rivoli [45.07449388, 7.54295963]
TOH_1/06e43::Via Scrivia 18, Rivoli [45.07280112, 7.54198352]
TOH_1/06e44::Via Bruere 55, Rivoli [45.07369055, 7.54024620]
TOH_1/06w11::Via Boves, Grugliasco [45.06588612, 7.56913928]
TOH_1/06w12::Via Dante di Nanni, Grugliasco [45.06429451, 7.56792932]
TOH_1/06w13::Via G. Damaso 1, Grugliasco [45.06549789, 7.56729095]
TOH_1/06w14::Via Don Mario Caustico, Grugliasco [45.06643494, 7.56413156]
TOH_1/06w21::Piazza Primo Maggio, Grugliasco [45.06767917, 7.56202523]
TOH_1/06w22::Strada Antica di Rivoli, Grugliasco [45.06924452, 7.56054639]
TOH_1/06w23::Strada Antica di Rivoli, Grugliasco [45.06949533, 7.55973583]
TOH_1/06w24::Strada Antica di Rivoli, Grugliasco [45.07022720, 7.55801324]
TOH_1/06w31::Corso Francia, Rivoli [45.07105656, 7.53837322]
TOH_1/06w32::Corso Francia 101, Rivoli [45.07130642, 7.53953864]
TOH_1/06w33::Via Ticino 2, Rivoli [45.06973690, 7.53936860]
TOH_1/06w41::Via Pisa, Rivoli [45.07190973, 7.53269361]
TOH_1/06w42::Via Pisa 7, Rivoli [45.07180131, 7.53357461]
TOH_1/06w43::Corso Francia 98, Rivoli [45.07076125, 7.53431856]
TOH_1/06w44::Via Primo Maggio, Rivoli [45.06875312, 7.52935619]
TOH_1/07e11::Via Antonio Colombo, Venaria Reale [45.11607425, 7.64377108]
TOH_1/07e12::Corso Giuseppe Garibaldi, Venaria Reale [45.11732014, 7.64454384]
TOH_1/07e13::Via Gaetano Amati, Venaria Reale [45.11810227659224, 7.650618483674301]
TOH_1/07e14::Via Flora Pretegiani, Venaria Reale [45.11315482, 7.64083259]
TOH_1/07e21::Corso Giuseppe Garibaldi, Venaria Reale [45.12754027, 7.63599474]
TOH_1/07e22::Via Palestro, Venaria Reale [45.12820730, 7.63436602]
TOH_1/07e23::Corso Giuseppe Garibaldi, Venaria Reale [45.12911754, 7.63526201]
TOH_1/07e24::Via Enrico Toti, Venaria Reale [45.13128578, 7.63556590]
TOH_1/07e31::Corso Papa Giovanni Ventitreesimo, Venaria Reale [45.12631466, 7.63515242]
TOH_1/07e32::Via Gabriele D'Annunzio, Venaria Reale [45.12783369, 7.63251284]
TOH_1/07e33::Via Filippo Juvarra, Venaria Reale [45.12835054, 7.63124801]
TOH_1/07e34::Via Palestro, Venaria Reale [45.12859206, 7.63309616]
TOH_1/07e41::Via Goito, Venaria Reale [45.12952417, 7.63323684]
TOH_1/07e42::Via Goito 4, Venaria Reale [45.13007214, 7.63134569]
TOH_1/07e43::Via Pietro Trucchi, Venaria Reale [45.13162325, 7.63094416]
TOH_1/07e44::Via Filippo Juvarra, Venaria Reale [45.13186524, 7.63287311]
TOH_1/07w11::Viale Petrarca, Venaria Reale [45.11481318, 7.61833738]
TOH_1/07w12::Via Francesco Giuseppe Guicciardini, Venaria Reale [45.11618926, 7.62101544]
TOH_1/07w13::Via Donatello, Venaria Reale [45.11745245, 7.62194134]
TOH_1/07w14::Via Donatello, Venaria Reale [45.11739626, 7.62127044]
TOH_1/07w21::Via Aldo Moro, Venaria Reale [45.12287138, 7.61957833]
TOH_1/07w22::Via Don Giovanni Battista Sapino, Venaria Reale [45.12552663, 7.61994410]
TOH_1/07w23::Via Odo Lucchese, Venaria Reale [45.12382331, 7.62482148]
TOH_1/07w24::Corso Niccolò Machiavelli, Venaria Reale [45.12126047, 7.62242026]
TOH_1/07w31::Corso Giacomo Matteotti, Venaria Reale [45.12868662, 7.62645359]
TOH_1/07w32::Via Giuseppe Verdi, Venaria Reale [45.12953820, 7.62677093]
TOH_1/07w33::Via Giuseppe Verdi, Venaria Reale [45.13006835, 7.62724806]
TOH_1/07w34::Via Nazario Sauro, Venaria Reale [45.13023949, 7.62737303]
TOH_1/07w41::Via Romolo Tessarin, Venaria Reale [45.12960433, 7.62427070]
